index,title,release_date,vote_average
5203,Saint Seiya: Legend of Sanctuary,2014-06-21,6.6
5204,Monte Carlo,2011-07-01,6.621
5205,Kinsey,2004-09-04,6.621
5206,Damage,1992-12-02,6.621
5207,Sweet Girl,2021-08-18,6.6
5208,The Skeleton Key,2005-07-29,6.62
5209,Love in the Time of Cholera,2007-10-04,6.6
5210,The Holiday Calendar,2018-11-02,6.619
5211,Gold,2016-02-03,6.6
5212,Space Pirate Captain Harlock,2013-09-07,6.619
5213,Trance,2013-03-27,6.619
5214,Martha Marcy May Marlene,2011-10-21,6.619
5215,Candyman,1992-10-16,6.619
5216,99 Francs,2007-09-26,6.619
5217,The Chronicles of Narnia: Prince Caspian,2008-05-15,6.619
5218,The Kid Detective,2020-10-16,6.618
5219,Vengeance,2022-07-29,6.618
5220,Popstar: Never Stop Never Stopping,2016-06-03,6.618
5221,Behind the Candelabra,2013-05-26,6.618
5222,Tinker Tailor Soldier Spy,2011-09-16,6.618
5223,Pet Sematary,1989-04-21,6.618
5224,Barefoot,2014-02-02,6.6
5225,The Crush,1993-04-02,6.6
5226,Heaven Can Wait,1978-06-28,6.6
5227,Ruthless People,1986-06-26,6.6
5228,Athena,2022-09-09,6.615
5229,The Burning Plain,2008-11-07,6.6
5230,The Ice Age Adventures of Buck Wild,2022-01-28,6.614
5231,Micmacs,2009-10-28,6.614
5232,The Collector,2009-07-09,6.614
5233,The Last Starfighter,1984-07-13,6.614
5234,The Party,1980-12-17,6.6
5235,Lost Bullet,2020-06-19,6.6
5236,Ben Is Back,2018-12-05,6.6
5237,"Where'd You Go, Bernadette",2019-08-16,6.613
5238,Kill the Messenger,2014-10-09,6.613
5239,Point Blank,2010-11-08,6.6
5240,New Jack City,1991-03-08,6.613
5241,Risky Business,1983-08-05,6.613
5242,28 Weeks Later,2007-04-26,6.613
5243,The Grandmaster,2013-01-10,6.612
5244,Aquaman and the Lost Kingdom,2023-12-20,6.611
5245,A Christmas Prince,2017-11-17,6.611
5246,The Addams Family,2019-10-10,6.6
5247,Clouds of Sils Maria,2014-08-20,6.6
5248,A Most Violent Year,2014-12-31,6.6
5249,Demons,1985-10-04,6.6
5250,Strictly Ballroom,1992-08-20,6.611
5251,The Hunter,2011-10-06,6.61
5252,The Forbidden Kingdom,2008-04-17,6.61
5253,Brittany Runs a Marathon,2019-08-23,6.609
5254,The Final Countdown,1980-01-31,6.6
5255,Elvira: Mistress of the Dark,1988-09-30,6.6
5256,May December,2023-11-16,6.608
5257,Infinite,2021-09-09,6.6
5258,Madagascar 3: Europe's Most Wanted,2012-06-06,6.608
5259,[REC]²,2009-09-15,6.608
5260,There's Something About Mary,1998-07-15,6.608
5261,A Haunting in Venice,2023-09-13,6.607
5262,Goya's Ghosts,2006-11-08,6.608
5263,Something Wild,1986-11-07,6.6
5264,45 Years,2015-05-29,6.608
5265,Sea of Love,1989-09-15,6.6
5266,Final Destination,2000-03-17,6.606
5267,The Wonder,2022-11-02,6.605
5268,Side Effects,2013-02-07,6.605
5269,The Sugarland Express,1974-03-31,6.6
5270,The Green Knight,2021-07-29,6.604
5271,Dumbo,2019-03-27,6.604
5272,Superman: Unbound,2013-04-23,6.604
5273,The Kids Are All Right,2010-07-09,6.604
5274,Retribution,2023-08-23,6.6
5275,Bleach,2018-07-20,6.6
5276,The Finest Hours,2016-01-27,6.6
5277,12,2007-06-06,6.6
5278,Killer Klowns from Outer Space,1988-05-27,6.602
5279,License to Drive,1988-07-06,6.602
5280,He's Just Not That Into You,2009-02-06,6.602
5281,Conspiracy Theory,1997-08-08,6.6
5282,The Lord of the Rings,1978-11-15,6.602
5283,Z,2019-09-19,6.6
5284,The Angel,2018-05-15,6.602
5285,Brewster's Millions,1985-05-22,6.6
5286,Girl with a Pearl Earring,2003-12-12,6.6
5287,Fairy Tail: Dragon Cry,2017-05-06,6.6
5288,Mine,2016-10-06,6.6
5289,Cruising,1980-02-15,6.6
5290,The Masque of the Red Death,1964-06-24,6.6
5291,Double Jeopardy,1999-09-24,6.6
5292,Vampire Hunter D,1985-12-21,6.6
5293,Working Girl,1988-12-20,6.599
5294,Dolittle,2020-01-02,6.598
5295,The Diary of a Teenage Girl,2015-08-07,6.6
5296,The Heat,2013-06-27,6.598
5297,Silver Bullet,1985-10-10,6.598
5298,Play Misty for Me,1971-10-01,6.598
5299,Sunshine Cleaning,2008-01-18,6.598
5300,Smile 2,2024-10-16,6.6
5301,The Ledge,2022-02-18,6.6
5302,Alienoid: Return to the Future,2024-01-10,6.6
5303,Batman: The Killing Joke,2016-07-24,6.597
5304,Footloose,2011-10-06,6.597
5305,World's Greatest Dad,2009-08-20,6.597
5306,Caddyshack,1980-07-25,6.6
5307,Robin Hood: Men in Tights,1993-07-28,6.597
5308,The Rat Catcher,2023-09-28,6.596
5309,Bright Star,2009-09-18,6.595
5310,Torn Curtain,1966-07-15,6.6
5311,Return,,6.594
5312,Noelle,2019-11-12,6.594
5313,Dragged Across Concrete,2019-02-21,6.594
5314,Angel Has Fallen,2019-08-21,6.594
5315,Bringing Out the Dead,1999-10-22,6.594
5316,A Bay of Blood,1971-09-08,6.594
5317,"Me, Myself & Irene",2000-06-22,6.594
5318,Saw II,2005-10-28,6.594
5319,Radioactive,2020-03-11,6.593
5320,Woody Woodpecker,2017-10-05,6.593
5321,Benedetta,2021-07-09,6.6
5322,The Nile Hilton Incident,2017-06-19,6.6
5323,Annabelle: Creation,2017-08-03,6.593
5324,EuroTrip,2004-02-20,6.593
5325,Fermat's Room,2007-10-07,6.593
5326,Saint Maud,2020-10-09,6.583
5327,Playing with Fire,2019-11-08,6.592
5328,The Night House,2021-07-15,6.592
5329,You're Next,2013-08-22,6.6
5330,A Whole Life Ahead,2008-03-28,6.6
5331,Welcome to the Rileys,2010-10-29,6.6
5332,Old School,2003-02-21,6.592
5333,Stay,2005-09-24,6.592
5334,The Curse of the Jade Scorpion,2001-08-05,6.6
5335,Lethal Weapon 4,1998-07-10,6.593
5336,Hanna,2011-04-07,6.591
5337,The Exorcism of Emily Rose,2005-09-09,6.591
5338,Australia,2008-11-18,6.591
5339,Black Rain,1989-09-22,6.59
5340,Scoop,2006-07-27,6.591
5341,Piggy,2022-10-07,6.6
5342,The Brothers Bloom,2008-09-09,6.6
5343,House of Gucci,2021-11-24,6.588
5344,Jingle Jangle: A Christmas Journey,2020-11-06,6.6
5345,Chaos Walking,2021-02-24,6.589
5346,Better Off Dead...,1985-08-23,6.589
5347,"New York, New York",1977-06-21,6.6
5348,Hot Shots!,1991-07-31,6.589
5349,Underworld: Evolution,2006-01-12,6.588
5350,Sergio,2020-01-28,6.6
5351,Unstoppable,2010-11-04,6.588
5352,Time Bandits,1981-07-13,6.588
5353,Hamlet,1990-12-19,6.6
5354,My Best Friend's Wedding,1997-06-19,6.588
5355,Nothing to Hide,2018-10-17,6.587
5356,The Warriors Gate,2016-11-18,6.587
5357,Happy-Go-Lucky,2008-04-18,6.6
5358,The Pelican Brief,1993-09-17,6.588
5359,Night at the Museum,2006-12-20,6.587
5360,Man Up,2015-05-29,6.586
5361,Ender's Game,2013-10-24,6.586
5362,The Legend of Bagger Vance,2000-11-02,6.586
5363,American Pie,1999-07-09,6.586
5364,Big Stan,2007-11-03,6.585
5365,The ComDads,1983-11-23,6.585
5366,Reminiscence,2021-08-18,6.584
5367,Lady Macbeth,2016-12-12,6.584
5368,Hannah Montana: The Movie,2009-04-10,6.6
5369,The Salton Sea,2002-02-12,6.6
5370,The Lion King 1½,2004-02-06,6.6
5371,Logan's Run,1976-06-23,6.584
5372,Star Trek III: The Search for Spock,1984-06-01,6.584
5373,I Care a Lot,2021-02-19,6.583
5374,The Children Act,2018-08-01,6.583
5375,Bernie,2012-04-27,6.584
5376,It Follows,2015-02-04,6.582
5377,The Brave One,2007-09-12,6.58
5378,The Last Word,2017-03-03,6.581
5379,Recess: School's Out,2001-02-16,6.6
5380,Ghostbusters II,1989-06-16,6.583
5381,Get the Gringo,2012-03-15,6.579
5382,The Long Kiss Goodnight,1996-10-11,6.58
5383,Find Me Guilty,2006-03-16,6.6
5384,You Only Live Twice,1967-06-13,6.58
5385,They Cloned Tyrone,2023-06-14,6.579
5386,The Unholy,2021-03-31,6.579
5387,My First Time,2012-01-18,6.6
5388,Red Tails,2012-01-19,6.584
5389,The Crucible,1996-11-27,6.579
5390,Silent Hill,2006-04-21,6.579
5391,Through My Window: Across the Sea,2023-06-23,6.6
5392,Joy Ride,2023-06-22,6.6
5393,Beast,2022-08-11,6.6
5394,Insidious: The Red Door,2023-07-05,6.578
5395,Housebound,2014-09-04,6.578
5396,Chinese Puzzle,2013-12-04,6.578
5397,Mr. Mom,1983-07-22,6.578
5398,Appaloosa,2008-09-19,6.578
5399,Igby Goes Down,2002-09-13,6.583
5400,Titan A.E.,2000-06-16,6.578
5401,Flesh + Blood,1985-08-30,6.6
5402,Little Man Tate,1991-09-06,6.6
5403,The Howling,1981-01-21,6.581
5404,French Fried Vacation,1978-11-11,6.577
5405,To Die For,1995-09-22,6.577
5406,Orion and the Dark,2024-02-01,6.576
5407,I'm Thinking of Ending Things,2020-08-28,6.576
5408,The Fury of a Patient Man,2016-09-09,6.575
5409,The Swan Princess,1994-11-18,6.6
5410,The Mask of Zorro,1998-07-16,6.576
5411,From the Land of the Moon,2016-10-19,6.6
5412,The Art of Getting By,2011-06-17,6.6
5413,Nothing to Lose,1997-07-18,6.6
5414,On Her Majesty's Secret Service,1969-12-18,6.575
5415,Alex Strangelove,2018-04-16,6.571
5416,Greta,2019-02-28,6.6
5417,The Gauntlet,1977-12-17,6.6
5418,City Hunter,1993-01-01,6.6
5419,Puss in Boots,2011-10-27,6.573
5420,Prometheus,2012-05-30,6.573
5421,Walk Hard: The Dewey Cox Story,2007-12-21,6.573
5422,The Kindergarten Teacher,2018-09-23,6.6
5423,Pinocchio,2019-12-19,6.572
5424,The Last Man on Earth,1964-05-06,6.6
5425,Halloween II,1981-10-30,6.573
5426,Nell,1994-12-23,6.6
5427,Love Lies Bleeding,2024-03-07,6.571
5428,The Measure of a Man,2015-03-16,6.571
5429,Horrible Bosses,2011-07-08,6.571
5430,Kalifornia,1993-06-24,6.6
5431,The Eye,2002-05-09,6.6
5432,Star Wars: Episode II - Attack of the Clones,2002-05-15,6.571
5433,Seeking a Friend for the End of the World,2012-06-22,6.57
5434,The Electric State,2025-03-07,6.578
5435,Page Eight,2011-08-28,6.569
5436,The Debt,2010-09-30,6.569
5437,The Poughkeepsie Tapes,2007-04-27,6.569
5438,A Cinderella Story,2004-07-16,6.569
5439,The Killer,2023-10-25,6.6
5440,Sex and the City,2008-05-12,6.568
5441,Homeward Bound II: Lost in San Francisco,1996-03-08,6.567
5442,Spun,2003-02-07,6.567
5443,Reality Bites,1994-02-18,6.567
5444,Secret Window,2004-03-12,6.566
5445,"I Love You, Man",2009-03-20,6.566
5446,James and the Giant Peach,1996-04-12,6.6
5447,Sliding Doors,1998-04-23,6.566
5448,Hitch,2005-02-11,6.566
5449,Ace Ventura: Pet Detective,1994-02-04,6.567
5450,The Hobbit,1977-11-27,6.564
5451,Austin Powers: International Man of Mystery,1997-05-02,6.566
5452,Sobibor,2018-05-03,6.565
5453,When We First Met,2018-02-09,6.6
5454,Return,2015-01-01,6.565
5455,Out of the Furnace,2013-11-09,6.6
5456,The Warrior's Way,2010-12-01,6.6
5457,Pandorum,2009-09-08,6.565
5458,Over the Hedge,2006-05-17,6.565
5459,Ocean's Twelve,2004-12-09,6.565
5460,The Grey,2012-01-26,6.564
5461,Leroy & Stitch,2006-06-23,6.6
5462,The Great Raid,2005-08-12,6.6
5463,The Pledge,2001-01-19,6.565
5464,Longlegs,2024-07-10,6.563
5465,The Man with the Iron Heart,2017-05-25,6.6
5466,The Wild One,1953-12-30,6.6
5467,Dead Calm,1989-04-07,6.6
5468,Monster Hunter,2020-12-03,6.562
5469,Mary Queen of Scots,2018-12-07,6.562
5470,Evil Dead,2013-04-05,6.562
5471,The Place Promised in Our Early Days,2004-11-20,6.6
5472,I Am All Girls,2021-05-14,6.6
5473,The Perfect Secret,2019-10-31,6.6
5474,The Legacy of the Bones,2019-12-05,6.561
5475,The Mermaid,2016-02-08,6.561
5476,When a Man Loves a Woman,1994-04-29,6.561
5477,Dan in Real Life,2007-10-26,6.561
5478,The Voyeurs,2021-08-25,6.56
5479,Fragile,2005-10-14,6.6
5480,Outbreak,1995-03-10,6.56
5481,Hunting & Gathering,2007-03-21,6.56
5482,Hitchcock,2012-11-22,6.559
5483,Just Wright,2010-05-14,6.6
5484,The Art of Self-Defense,2019-07-12,6.558
5485,Halloween,2018-10-18,6.559
5486,Return,1972-07-15,6.558
5487,Solo: A Star Wars Story,2018-05-15,6.557
5488,Alice Through the Looking Glass,2016-05-25,6.558
5489,The Stepfather,1987-01-23,6.6
5490,Drive Me Crazy,1999-10-01,6.558
5491,Step Brothers,2008-07-25,6.558
5492,Romper Stomper,1992-03-05,6.6
5493,LEGO Star Wars Holiday Special,2020-11-17,6.6
5494,Proximity,2020-05-15,6.557
5495,Brexit: The Uncivil War,2019-01-19,6.557
5496,Indiana Jones and the Dial of Destiny,2023-06-25,6.557
5497,Gantz,2010-11-29,6.6
5498,Pirates of the Caribbean: On Stranger Tides,2011-05-15,6.557
5499,The Vast of Night,2019-06-01,6.6
5500,It’s the Law,2017-01-19,6.6
5501,Spectre,2015-10-26,6.556
5502,Return of the Living Dead III,1993-10-01,6.6
5503,The Tigger Movie,2000-02-11,6.6
5504,Hamburger Hill,1987-08-07,6.6
5505,Flyboys,2006-09-22,6.555
5506,Star Wars: Episode I - The Phantom Menace,1999-05-19,6.556
5507,The Giver,2014-08-13,6.556
5508,Freaky,2020-11-12,6.554
5509,Trust,2010-09-10,6.554
5510,The Quick and the Dead,1995-02-09,6.6
5511,Stripes,1981-06-26,6.6
5512,F/X,1986-02-07,6.554
5513,The Girl with All the Gifts,2016-09-23,6.6
5514,The East,2013-05-31,6.553
5515,The Nutty Professor,1963-06-04,6.6
5516,Alibi.com 2,2023-02-08,6.6
5517,The Birth of a Nation,2016-09-09,6.552
5518,The Return of the Tall Blond Man with One Black Shoe,1974-11-12,6.6
5519,May,2003-04-11,6.552
5520,Bubba Ho-tep,2002-06-09,6.552
5521,K-19: The Widowmaker,2002-07-19,6.553
5522,Funny Games,2008-03-14,6.552
5523,The Fox and the Child,2007-12-27,6.6
5524,Inherent Vice,2014-12-12,6.6
5525,Blade II,2002-03-22,6.551
5526,Raise Your Voice,2004-08-10,6.6
5527,The Protégé,2021-08-19,6.5
5528,Cold in July,2014-05-23,6.5
5529,The Iceman,2012-09-01,6.55
5530,Paranoid Park,2007-07-12,6.55
5531,Black '47,2018-09-05,6.5
5532,King Arthur: Legend of the Sword,2017-05-10,6.549
5533,The Conspirator,2011-04-15,6.5
5534,Return,,6.548
5535,High School Musical 3: Senior Year,2008-10-11,6.5
5536,Weird Science,1985-08-01,6.548
5537,High School Musical,2006-01-20,6.548
5538,Avalon,2001-01-20,6.548
5539,Water Lilies,2007-05-17,6.5
5540,The Limey,1999-10-08,6.5
5541,You Were Never Really Here,2017-11-08,6.547
5542,Thank You for Your Service,2017-10-26,6.547
5543,The Homesman,2014-05-18,6.5
5544,Dead Snow 2: Red vs. Dead,2014-02-12,6.547
5545,Slayers Return,1996-08-03,6.549
5546,The Muppets Take Manhattan,1984-06-27,6.547
5547,Slither,2006-03-31,6.547
5548,The Lost World: Jurassic Park,1997-05-23,6.547
5549,The Faculty,1998-12-25,6.546
5550,Hot Shots! Part Deux,1993-05-21,6.546
5551,Jolt,2021-07-15,6.545
5552,Kong: Skull Island,2017-03-08,6.545
5553,Joy,2015-12-24,6.545
5554,Wish I Was Here,2014-07-18,6.545
5555,Regarding Henry,1991-07-10,6.545
5556,Grandma's Boy,2006-01-06,6.545
5557,Calendar Girls,2003-09-02,6.5
5558,MouseHunt,1997-12-19,6.545
5559,Wolfs,2024-09-20,6.5
5560,Godzilla: City on the Edge of Battle,2018-05-18,6.544
5561,I Don't Feel at Home in This World Anymore,2017-01-19,6.544
5562,Cinderella III: A Twist in Time,2007-02-06,6.5
5563,A Perfect Murder,1998-06-05,6.544
5564,Lost Bullet 2,2022-11-10,6.5
5565,Super Troopers,2001-02-15,6.543
5566,Looking for Eric,2009-05-27,6.543
5567,The Ref,1994-03-09,6.5
5568,Phantasm,1979-03-28,6.5
5569,The Witches of Eastwick,1987-06-12,6.5
5570,A Good Doctor,2019-12-11,6.5
5571,Who You Think I Am,2019-02-27,6.5
5572,Seoul Station,2016-08-17,6.5
5573,Scouts Guide to the Zombie Apocalypse,2015-10-23,6.5
5574,The Karate Kid,2010-06-10,6.542
5575,Small Soldiers,1998-07-10,6.5
5576,The Mighty Ducks,1992-10-02,6.542
5577,I'm Not There,2007-10-01,6.542
5578,Truth,2015-10-16,6.5
5579,Blind Fury,1989-08-17,6.5
5580,Dinosaur,2000-05-19,6.541
5581,Dragonfly,2002-02-22,6.5
5582,A Night at the Roxbury,1998-10-01,6.541
5583,Lionheart,1990-06-07,6.5
5584,Kinds of Kindness,2024-05-30,6.538
5585,Escape Room,2019-01-03,6.54
5586,Lou,2022-09-23,6.54
5587,Bad Santa,2003-11-26,6.54
5588,Event Horizon,1997-08-15,6.54
5589,The Day After Tomorrow,2004-05-26,6.54
5590,2 Guns,2013-08-02,6.539
5591,Super,2010-11-26,6.539
5592,DragonHeart,1996-05-31,6.539
5593,Beast,2018-04-18,6.5
5594,Jurassic World: Fallen Kingdom,2018-06-06,6.538
5595,Mistress America,2015-08-14,6.5
5596,Sudden Impact,1983-12-08,6.538
5597,Baghead,2023-12-28,6.537
5598,In Hell,2003-11-24,6.536
5599,Boundin',2003-11-04,6.536
5600,True Crime,1999-03-19,6.5
5601,Miss Congeniality,2000-12-22,6.5
5602,The Son of Bigfoot,2017-07-26,6.5
5603,Halloweentown High,2004-10-08,6.5
5604,The Man Without a Face,1993-08-25,6.5
5605,Apt Pupil,1998-10-23,6.535
5606,Rambo: Last Blood,2019-09-19,6.534
5607,The Whole Truth,2016-03-25,6.534
5608,The Quiet American,2002-11-22,6.534
5609,Charlie Wilson's War,2007-12-19,6.534
5610,The Chronicles of Riddick,2004-06-11,6.533
5611,The Running Man,1987-11-13,6.5
5612,Shaft,2019-06-14,6.5
5613,Red Sparrow,2018-02-28,6.533
5614,The Water Horse,2007-12-25,6.5
5615,What a Beautiful Day,2011-01-05,6.533
5616,The Company Men,2010-10-21,6.533
5617,Tales from Earthsea,2006-07-29,6.533
5618,Ghost Town,2008-09-19,6.533
5619,Kiss the Girls,1997-09-29,6.533
5620,Twister,1996-05-10,6.533
5621,Jarhead: Law of Return,2019-10-01,6.532
5622,Escape Room: Tournament of Champions,2021-07-01,6.532
5623,Spenser Confidential,2020-03-06,6.532
5624,Little Monsters,2019-08-29,6.5
5625,Underworld: Rise of the Lycans,2009-01-22,6.532
5626,Harold & Kumar Go to White Castle,2004-07-02,6.532
5627,The American President,1995-11-17,6.5
5628,Cry-Baby,1990-04-06,6.531
5629,Saving Grace,2000-01-24,6.5
5630,For Your Eyes Only,1981-06-24,6.531
5631,Thanksgiving,2023-11-16,6.53
5632,Everybody Knows,2018-05-09,6.53
5633,Tulip Fever,2017-07-13,6.53
5634,Epic,2013-05-15,6.53
5635,Detective Dee and the Mystery of the Phantom Flame,2010-09-18,6.5
5636,Ramona and Beezus,2010-07-23,6.5
5637,The Love Bug,1968-12-23,6.53
5638,Bambi II,2006-01-26,6.53
5639,The Postman Always Rings Twice,1981-03-20,6.5
5640,He's All That,2021-08-27,6.529
5641,It's a Boy Girl Thing,2006-07-15,6.529
5642,Awake,2007-11-28,6.5
5643,Falling Inn Love,2019-08-29,6.528
5644,Turbo Kid,2015-08-14,6.528
5645,Return to Nim's Island,2013-03-15,6.5
5646,Mr. Turner,2014-10-31,6.5
5647,Killer Joe,2012-06-07,6.527
5648,Annie,1982-05-21,6.527
5649,The People Under the Stairs,1991-11-01,6.5
5650,Hollywood Ending,2002-05-03,6.5
5651,Irrational Man,2015-07-17,6.526
5652,Hippocrates,2014-09-03,6.526
5653,Penguins of Madagascar,2014-11-22,6.526
5654,Frequencies,2013-07-24,6.526
5655,Lone Wolf McQuade,1983-04-15,6.5
5656,Bolt,2008-11-21,6.526
5657,Alpha,2018-08-17,6.525
5658,Welcome to Marwen,2018-12-21,6.525
5659,LOL (Laughing Out Loud),2009-02-04,6.525
5660,Save the Last Dance,2001-01-12,6.525
5661,The Living Daylights,1987-06-29,6.525
5662,Men in Black 3,2012-05-23,6.525
5663,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972-08-06,6.524
5664,The Curse of Bridge Hollow,2022-10-14,6.523
5665,Pitch Perfect 3,2017-12-20,6.523
5666,RED 2,2013-07-18,6.523
5667,Bridesmaids,2011-05-13,6.523
5668,Romantics Anonymous,2010-12-22,6.523
5669,Voices of a Distant Star,2002-02-02,6.5
5670,Freaky Friday,2003-08-05,6.523
5671,Wanted,2008-06-19,6.523
5672,Asterix vs. Caesar,1985-03-06,6.525
5673,The Informer,2019-08-30,6.5
5674,Radius,2017-07-17,6.522
5675,Dragon Ball Z: The World's Strongest,1990-03-10,6.529
5676,The Secret of Moonacre,2009-02-06,6.519
5677,L'allenatore nel pallone,1984-10-26,6.5
5678,Arthur,1981-07-17,6.521
5679,Suicide Club,2001-10-29,6.5
5680,U.S. Marshals,1998-03-06,6.521
5681,In the Land of Saints and Sinners,2023-10-06,6.52
5682,Luckiest Girl Alive,2022-09-30,6.519
5683,Bonanza: The Return,1993-11-24,6.517
5684,Dragon Hunters,2008-03-19,6.5
5685,The Tearsmith,2024-04-03,6.519
5686,From Beyond,1986-10-24,6.5
5687,Blindness,2008-05-14,6.519
5688,Queenpins,2021-08-26,6.5
5689,Look Away,2018-10-12,6.518
5690,The Babadook,2014-05-22,6.518
5691,I Still See You,2018-09-27,6.517
5692,Wonder Park,2019-03-13,6.517
5693,Black Mass,2015-09-17,6.517
5694,Thor: The Dark World,2013-10-30,6.517
5695,The Mechanic,2011-01-13,6.517
5696,Undisputed,2002-07-17,6.515
5697,Mr. Nice Guy,1997-01-31,6.517
5698,The Sisterhood of the Traveling Pants,2005-06-01,6.5
5699,City Hunter,2019-02-06,6.516
5700,Puss in Boots: The Three Diablos,2012-02-07,6.5
5701,Four Flies on Grey Velvet,1971-12-17,6.5
5702,The Rebound,2009-09-16,6.516
5703,Joy Ride,2001-10-05,6.5
5704,The Fast and the Furious: Tokyo Drift,2006-06-03,6.516
5705,Beverly Hills Cop II,1987-05-18,6.516
5706,Arctic,2018-11-21,6.5
5707,Sand Castle,2017-04-21,6.5
5708,Burnt,2015-10-02,6.5
5709,The Amazing Spider-Man 2,2014-04-16,6.515
5710,Restless,2011-09-16,6.515
5711,I Spit on Your Grave,2010-06-17,6.515
5712,Time Lapse,2014-05-24,6.514
5713,Young Guns II,1990-08-01,6.5
5714,War of the Worlds,2005-06-13,6.514
5715,EO,2022-09-30,6.5
5716,Mary Poppins Returns,2018-12-13,6.5
5717,7 Days in Hell,2015-07-08,6.5
5718,X-Men: Apocalypse,2016-05-18,6.513
5719,Joe,2014-04-11,6.513
5720,Mulan II,2004-11-03,6.5
5721,Eagle vs Shark,2007-07-15,6.5
5722,Night Train to Lisbon,2013-03-07,6.518
5723,The Double,2014-04-03,6.5
5724,Elysium,2013-08-07,6.511
5725,The Jane Austen Book Club,2007-09-09,6.511
5726,Live and Let Die,1973-06-27,6.51
5727,Sputnik,2020-09-08,6.509
5728,Rolling to You,2018-03-14,6.51
5729,Tag,2015-05-11,6.51
5730,The Cotton Club,1984-12-14,6.51
5731,Ricky Stanicky,2024-03-07,6.509
5732,The Neon Demon,2016-05-31,6.5
5733,Subway,1985-04-10,6.5
5734,Madagascar: Escape 2 Africa,2008-10-30,6.509
5735,The Invisible Guardian,2017-03-03,6.508
5736,Doodlebug,1997-01-01,6.5
5737,Dragon Ball Z: The Tree of Might,1990-06-07,6.508
5738,High School Musical 2,2007-08-17,6.5
5739,Cliffhanger,1993-05-28,6.507
5740,Star Trek: Generations,1994-11-18,6.507
5741,The Taking of Deborah Logan,2014-10-21,6.506
5742,Tideland,2005-09-09,6.5
5743,Being the Ricardos,2021-12-10,6.505
5744,Wolf Totem,2015-02-19,6.5
5745,The New World,2005-12-25,6.506
5746,Copycat,1995-10-27,6.5
5747,2 Fast 2 Furious,2003-06-05,6.505
5748,Paradise,2023-06-24,6.5
5749,The Simpsons in Plusaversary,2021-11-12,6.5
5750,Don't Listen,2020-07-24,6.504
5751,"Angus, Thongs and Perfect Snogging",2008-07-25,6.5
5752,Ghostbusters: Frozen Empire,2024-03-20,6.503
5753,The Cellar,2022-03-25,6.503
5754,My Friend Dahmer,2017-11-03,6.503
5755,Things to Come,2016-04-06,6.503
5756,The Last Days of American Crime,2020-06-05,6.503
5757,Act of Valor,2012-02-24,6.503
5758,The Pirates! In an Adventure with Scientists!,2012-03-12,6.502
5759,The Money Pit,1986-03-26,6.503
5760,Forgetting Sarah Marshall,2008-04-17,6.503
5761,A Rainy Day in New York,2019-07-26,6.5
5762,Bad Moms,2016-07-28,6.502
5763,The Devil Conspiracy,2023-01-13,6.502
5764,Mother's Day,2010-09-23,6.5
5765,The Lorax,2012-03-01,6.502
5766,The Gendarme Gets Married,1968-10-30,6.5
5767,Operation Mincemeat,2022-04-01,6.501
5768,Causeway,2022-10-28,6.501
5769,It's Complicated,2009-12-23,6.501
5770,Pokémon 3: The Movie,2000-07-08,6.501
5771,Analyze This,1999-03-05,6.501
5772,Rio 2,2014-03-19,6.5
5773,Confessions of a Brazilian Call Girl,2011-02-25,6.5
5774,The Ugly Truth,2009-07-24,6.5
5775,Where the Wild Things Are,2009-10-16,6.5
5776,Into the Night,1985-02-22,6.5
5777,Godzilla: The Planet Eater,2018-11-09,6.499
5778,Scary Stories to Tell in the Dark,2019-08-08,6.499
5779,Courage Under Fire,1996-07-04,6.499
5780,My Big Fat Greek Wedding,2002-04-19,6.499
5781,Flatliners,1990-08-10,6.499
5782,Magic Mike's Last Dance,2023-02-09,6.498
5783,Borgman,2013-08-29,6.5
5784,Kingpin,1996-07-04,6.5
5785,Basic,2003-04-18,6.498
5786,Death to 2020,2020-12-27,6.5
5787,Experimenter,2015-10-16,6.497
5788,Magic in the Moonlight,2014-07-25,6.5
5789,The Hunting Party,2007-09-03,6.495
5790,Tarot,2024-05-01,6.496
5791,Honest Thief,2020-09-03,6.496
5792,The Deep End of the Ocean,1999-03-12,6.5
5793,The Game Plan,2007-09-28,6.496
5794,Cocoon: The Return,1988-09-13,6.5
5795,All of Me,1984-09-21,6.5
5796,U-571,2000-04-20,6.5
5797,Renfield,2023-04-07,6.495
5798,Love at First Fight,2014-08-20,6.495
5799,Obvious Child,2014-06-06,6.5
5800,Revenge,1990-02-16,6.5
5801,Osmosis Jones,2001-08-10,6.494
5802,Heavy Metal,1981-08-07,6.5
5803,Tommy,1975-03-19,6.494
5804,Flashdance,1983-04-14,6.494
5805,Holiday in the Wild,2019-11-06,6.5
5806,The Bookshop,2017-11-10,6.5
5807,Under the Shadow,2016-09-30,6.493
5808,Stakeout,1987-08-05,6.493
5809,Scream 2,1997-12-12,6.493
5810,TRON: Legacy,2010-12-14,6.492
5811,The United States of Leland,2003-05-15,6.5
5812,Blue Streak,1999-09-17,6.5
5813,A Midsummer Night's Sex Comedy,1982-07-16,6.492
5814,Get Shorty,1995-10-20,6.492
5815,The Lost City,2022-03-24,6.49
5816,The Eyes of Tammy Faye,2021-09-17,6.491
5817,Widows,2018-11-06,6.491
5818,It Takes Two,1995-11-17,6.5
5819,School Ties,1992-09-18,6.491
5820,Master Z: Ip Man Legacy,2018-12-20,6.5
